Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
121,tt18925334,4/19/2023,4/19/2023,Also produced by A24,Pearl,Pearl,https://www.imdb.com/title/tt18925334/,Movie,7,103,2022,"Drama, Horror, Thriller",102131,9/16/2022,Ti West
122,tt8386898,4/19/2023,4/19/2023,Rights acquired and released by A24 ,Instinct,Instinct,https://www.imdb.com/title/tt8386898/,Movie,6,98,2019,"Drama, Mystery, Thriller",2879,10/3/2019,Halina Reijn
123,tt10375396,4/19/2023,4/19/2023,Also produced by A24,God's Creatures,God's Creatures,https://www.imdb.com/title/tt10375396/,Movie,6,100,2022,Drama,3427,9/30/2022,"Saela Davis, Anna Rose Holmer"
124,tt10354106,4/19/2023,4/19/2023,,Stars at Noon,Stars at Noon,https://www.imdb.com/title/tt10354106/,Movie,5.5,135,2022,"Drama, Romance, Thriller",3798,10/14/2022,Claire Denis
125,tt19770238,4/19/2023,4/19/2023,,Aftersun,Aftersun,https://www.imdb.com/title/tt19770238/,Movie,7.6,102,2022,Drama,96316,11/18/2022,Charlotte Wells
126,tt10192406,4/19/2023,4/19/2023,Produced by A24; co-distributed with Apple TV+,Causeway,Causeway,https://www.imdb.com/title/tt10192406/,Movie,6.6,94,2022,Drama,23235,11/4/2022,Lila Neugebauer
127,tt13495458,4/19/2023,4/19/2023,Also produced by A24,The Inspection,The Inspection,https://www.imdb.com/title/tt13495458/,Movie,6.7,95,2022,Drama,4975,12/2/2022,Elegance Bratton
128,tt6160448,4/19/2023,4/19/2023,Produced by A24; distributed by Netflix,White Noise,White Noise,https://www.imdb.com/title/tt6160448/,Movie,5.7,136,2022,"Comedy, Drama, Horror, Mystery",44885,12/30/2022,Noah Baumbach
129,tt13874422,4/19/2023,4/19/2023,,The Eternal Daughter,The Eternal Daughter,https://www.imdb.com/title/tt13874422/,Movie,5.9,96,2022,"Drama, Mystery",6267,12/2/2022,Joanna Hogg
130,tt13833688,4/19/2023,4/19/2023,Also produced by A24,The Whale,The Whale,https://www.imdb.com/title/tt13833688/,Movie,7.6,117,2022,Drama,215018,12/21/2022,Darren Aronofsky
131,tt23950956,4/19/2023,4/19/2023,Produced by A24; distributed by HBO,This Place Rules,This Place Rules,https://www.imdb.com/title/tt23950956/,Movie,7.3,82,2022,"Documentary, Crime, History",6585,12/30/2022,Andrew Callaghan
132,tt12121582,4/19/2023,4/19/2023,Also produced by A24,When You Finish Saving the World,When You Finish Saving the World,https://www.imdb.com/title/tt12121582/,Movie,5.6,88,2022,"Comedy, Drama",4505,7/31/2023,Jesse Eisenberg
133,tt9660502,4/19/2023,4/19/2023,,Close,Close,https://www.imdb.com/title/tt9660502/,Movie,7.8,104,2022,Drama,36682,11/1/2022,Lukas Dhont
134,tt12573454,4/19/2023,4/19/2023,Also produced by A24; co-distributed with Apple TV+,Sharper,Sharper,https://www.imdb.com/title/tt12573454/,Movie,6.7,116,2023,"Crime, Drama, Thriller",31215,2/17/2023,Benjamin Caron
135,tt0138704,4/19/2023,4/19/2023,Distributed in 2023 by A24 for its 25th anniversary re-release; originally distributed by Artisan Entertainment,Pi,Pi,https://www.imdb.com/title/tt0138704/,Movie,7.3,84,1998,"Drama, Horror, Mystery, Sci-Fi, Thriller",186918,7/10/1998,Darren Aronofsky
136,tt13923216,4/19/2023,4/19/2023,Also produced by A24,Showing Up,Showing Up,https://www.imdb.com/title/tt13923216/,Movie,6.3,107,2022,"Comedy, Drama",5700,5/3/2023,Kelly Reichardt
137,tt13521006,4/19/2023,4/19/2023,Also produced by A24,Beau Is Afraid,Beau Is Afraid,https://www.imdb.com/title/tt13521006/,Movie,6.7,179,2023,"Comedy, Drama, Horror",62453,4/21/2023,Ari Aster
138,tt15771916,4/19/2023,4/19/2023,,You Hurt My Feelings,You Hurt My Feelings,https://www.imdb.com/title/tt15771916/,Movie,6.6,93,2023,"Comedy, Drama",12970,1/26/2024,Nicole Holofcener
139,tt13238346,4/19/2023,4/19/2023,Also produced by A24,Past Lives,Past Lives,https://www.imdb.com/title/tt13238346/,Movie,7.8,105,2023,"Drama, Romance",121917,6/23/2023,Celine Song
140,tt18382328,4/19/2023,4/19/2023,,Earth Mama,Earth Mama,https://www.imdb.com/title/tt18382328/,Movie,6.6,101,2023,Drama,1007,12/8/2023,Savanah Leaf
141,tt24132732,8/15/2023,8/15/2023,,The Deepest Breath,The Deepest Breath,https://www.imdb.com/title/tt24132732/,Movie,7.7,108,2023,"Documentary, Adventure, Sport",14929,7/19/2023,Laura McGann
142,tt15210256,8/15/2023,8/15/2023,,Stephen Curry: Underrated,Stephen Curry: Underrated,https://www.imdb.com/title/tt15210256/,Movie,7.3,110,2023,"Documentary, Biography, Sport",4288,7/21/2023,Peter Nicks
143,tt10638522,4/19/2023,4/19/2023,Also produced by A24,Talk to Me,Talk to Me,https://www.imdb.com/title/tt10638522/,Movie,7.1,95,2022,"Horror, Thriller",151503,7/28/2023,"Danny Philippou, Michael Philippou"
144,tt14773478,8/15/2023,8/15/2023,,Medusa Deluxe,Medusa Deluxe,https://www.imdb.com/title/tt14773478/,Movie,6.1,101,2022,"Drama, Mystery",1931,8/11/2023,Thomas Hardiman
145,tt7130916,8/15/2023,8/15/2023,,Dicks: The Musical,Dicks: The Musical,https://www.imdb.com/title/tt7130916/,Movie,5.4,86,2023,"Comedy, Musical",3235,10/20/2023,Larry Charles
146,tt22041854,8/15/2023,8/15/2023,,Priscilla,Priscilla,https://www.imdb.com/title/tt22041854/,Movie,6.5,113,2023,"Biography, Drama, Music, Romance",37630,11/3/2023,Sofia Coppola
147,tt21942866,8/15/2023,8/15/2023,,Dream Scenario,Dream Scenario,https://www.imdb.com/title/tt21942866/,Movie,6.9,102,2023,"Comedy, Drama, Fantasy, Horror",63079,11/22/2023,Kristoffer Borgli
148,tt7160372,8/15/2023,8/15/2023,,The Zone of Interest,The Zone of Interest,https://www.imdb.com/title/tt7160372/,Movie,7.4,105,2023,"Drama, History, War",97195,2/20/2024,Jonathan Glazer
149,tt21064584,8/15/2023,8/15/2023,,The Iron Claw,The Iron Claw,https://www.imdb.com/title/tt21064584/,Movie,7.6,132,2023,"Biography, Drama, Sport",74991,12/22/2023,Sean Durkin
