Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
71,tt7690016,4/19/2023,4/19/2023,,Never Goin' Back,Never Goin' Back,https://www.imdb.com/title/tt7690016/,Movie,6.1,85,2018,"Comedy, Crime, Drama",4126,10/30/2018,Augustine Frizzell
72,tt4080956,4/19/2023,4/19/2023,,A Prayer Before Dawn,A Prayer Before Dawn,https://www.imdb.com/title/tt4080956/,Movie,6.8,116,2017,"Action, Biography, Crime, Drama, Sport",26343,8/10/2018,Jean-Stéphane Sauvaire
73,tt4411234,4/19/2023,4/19/2023,,Slice,Slice,https://www.imdb.com/title/tt4411234/,Movie,4.6,83,2018,"Comedy, Crime, Fantasy, Horror",3896,9/11/2018,Austin Vesely
74,tt6040662,4/19/2023,4/19/2023,,The Children Act,The Children Act,https://www.imdb.com/title/tt6040662/,Movie,6.7,105,2017,Drama,14897,9/14/2018,Richard Eyre
75,tt5613484,4/19/2023,4/19/2023,,Mid90s,Mid90s,https://www.imdb.com/title/tt5613484/,Movie,7.3,85,2018,"Comedy, Drama",78797,10/26/2018,Jonah Hill
76,tt6301712,4/19/2023,4/19/2023,,Outlaws,Outlaws,https://www.imdb.com/title/tt6301712/,Movie,5.3,92,2017,"Crime, Drama, Thriller",1333,2/1/2019,Stephen McCallum
77,tt6198946,4/19/2023,4/19/2023,,The Hole in the Ground,The Hole in the Ground,https://www.imdb.com/title/tt6198946/,Movie,5.6,90,2019,"Drama, Horror, Mystery",22575,2/26/2019,Lee Cronin
78,tt8359848,4/19/2023,4/19/2023,,Climax,Climax,https://www.imdb.com/title/tt8359848/,Movie,6.9,97,2018,"Drama, Horror, Music, Thriller",80187,3/15/2019,Gaspar Noé
79,tt6902696,4/19/2023,4/19/2023,,Gloria Bell,Gloria Bell,https://www.imdb.com/title/tt6902696/,Movie,6.3,102,2018,"Comedy, Drama, Music, Romance",13044,3/22/2019,Sebastián Lelio
80,tt4827558,4/19/2023,4/19/2023,,High Life,High Life,https://www.imdb.com/title/tt4827558/,Movie,5.8,113,2018,"Mystery, Sci-Fi, Thriller",41389,4/12/2019,Claire Denis
81,tt6566768,4/19/2023,4/19/2023,,Native Son,Native Son,https://www.imdb.com/title/tt6566768/,Movie,5.7,104,2019,Drama,2822,4/6/2019,Rashid Johnson
82,tt5691670,4/19/2023,4/19/2023,,Under the Silver Lake,Under the Silver Lake,https://www.imdb.com/title/tt5691670/,Movie,6.5,139,2018,"Crime, Drama, Mystery, Thriller",52242,4/19/2019,David Robert Mitchell
83,tt6920356,4/19/2023,4/19/2023,,The Souvenir,The Souvenir,https://www.imdb.com/title/tt6920356/,Movie,6.4,120,2019,"Drama, Romance",14600,6/7/2019,Joanna Hogg
84,tt4353250,4/19/2023,4/19/2023,,The Last Black Man in San Francisco,The Last Black Man in San Francisco,https://www.imdb.com/title/tt4353250/,Movie,7.3,121,2019,Drama,22046,6/7/2019,Joe Talbot
85,tt8772262,4/19/2023,4/19/2023,Also produced by A24,Midsommar,Midsommar,https://www.imdb.com/title/tt8772262/,Movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",409647,7/3/2019,Ari Aster
86,tt8637428,4/19/2023,4/19/2023,,The Farewell,The Farewell,https://www.imdb.com/title/tt8637428/,Movie,7.5,100,2019,"Comedy, Drama",71572,8/9/2019,Lulu Wang
87,tt6043142,4/19/2023,4/19/2023,,Skin,Skin,https://www.imdb.com/title/tt6043142/,Movie,6.8,118,2018,"Biography, Crime, Drama, Romance",18990,7/23/2019,Guy Nattiv
88,tt7007696,4/19/2023,4/19/2023,Also produced by A24; distributed by HBO Films,Share,Share,https://www.imdb.com/title/tt7007696/,Movie,5.6,87,2019,"Crime, Drama, Mystery",2257,7/27/2019,Pippa Bianco
89,tt9356952,4/19/2023,4/19/2023,Also produced by A24,The Death of Dick Long,The Death of Dick Long,https://www.imdb.com/title/tt9356952/,Movie,6.4,100,2019,"Comedy, Crime, Drama",7440,8/7/2020,Daniel Scheinert
90,tt7434324,4/19/2023,4/19/2023,,Low Tide,Low Tide,https://www.imdb.com/title/tt7434324/,Movie,6.3,86,2019,"Drama, Thriller",3495,9/5/2019,Kevin McMullin
91,tt7984734,4/19/2023,4/19/2023,Also produced by A24,The Lighthouse,The Lighthouse,https://www.imdb.com/title/tt7984734/,Movie,7.4,109,2019,"Drama, Fantasy, Horror, Mystery, Thriller",258080,11/1/2019,Robert Eggers
92,tt6722976,4/19/2023,4/19/2023,Co-distributed with Apple TV+,The Elephant Queen,The Elephant Queen,https://www.imdb.com/title/tt6722976/,Movie,7.8,96,2018,"Documentary, Family",2348,11/1/2019,"Mark Deeble, Victoria Stone"
